disaster_number,state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,country_name,designated_area,declaration_request_number,deaths,incident_duration
3202,Nevada,Upravljanje hitnim situacijama,2005-02-17,Snowstorm,Record And/Or Near Record Snow,0,0,1,0,2004-12-29,2005-01-02,Carson City,Carson City,5016,1977,14
994,Wisconsin,Velika katastrofa,1993-07-02,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,1,0,1993-06-07,1993-08-25,Iowa County (Wisconsin),Iowa (County),93052,4131,6
1636,Arkansas,Velika katastrofa,2006-04-12,Severe Storm,Severe Storms And Tornadoes,1,1,1,1,2006-04-01,2006-04-03,Greene County (Arkansas),Greene (County),6079,1254,11
3332,New Jersey,Upravljanje hitnim situacijama,2011-08-27,Hurricane,Hurricane Irene,0,0,1,0,2011-08-26,2011-09-05,Burlington County,Burlington (County),11190,5857,5
1065,Ohio,Velika katastrofa,1995-08-25,Severe Storm,Severe Storms And Flooding,0,1,0,0,1995-08-07,1995-08-18,Mercer County (Ohio),Mercer (County),95048,5408,7
3150,Florida,Upravljanje hitnim situacijama,1999-10-15,Hurricane,Tropical Storm Irene - Florida,0,0,1,0,1999-10-14,1999-10-19,Lee County (Florida),Lee (County),99136,4546,22
1086,Virginia,Velika katastrofa,1996-01-13,Snowstorm,Blizzard Of 96 (Severe Snow Storm),0,0,1,0,1996-01-06,1996-01-12,Essex County (Virginia),Essex (County),96018,4427,3
4071,West Virginia,Velika katastrofa,2012-07-23,Severe Storm,Severe Storms And Straight-Line Winds,1,0,1,1,2012-06-29,2012-07-08,Roane County (West Virginia),Roane (County),12054,8446,3
3301,Arkansas,Upravljanje hitnim situacijama,2009-01-28,Severe Ice Storm,Severe Winter Storm,0,0,1,0,2009-01-26,2009-01-30,Greene County (Arkansas),Greene (County),9009,20,1
603,Texas,Velika katastrofa,1979-09-25,Flood,Severe Storms & Flooding,0,1,1,0,1979-09-25,1979-09-25,Nueces County,Nueces (County),79079,3714,3
1421,Colorado,Velika katastrofa,2002-06-19,Fire,Wildfires,0,1,0,1,2002-04-23,2002-08-06,Montezuma County,Montezuma (County),2068,5119,14
3096,Alabama,Upravljanje hitnim situacijama,1993-03-15,Snowstorm,"Severe Snowfall, Winter Storm",0,0,1,0,1993-03-13,1993-03-17,Limestone County (Alabama),Limestone (County),93009,1479,5
295,California,Velika katastrofa,1970-09-29,Fire,Forest & Brush Fires,0,1,1,0,1970-09-29,1970-09-29,San Diego County,San Diego (County),70022,1898,9
863,Texas,Velika katastrofa,1990-05-02,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,0,0,1990-04-15,1990-05-29,Motley County,Motley (County),90016,4467,9
824,Minnesota,Velika katastrofa,1989-05-08,Flood,Flooding,0,1,1,0,1989-03-29,1989-05-08,Kittson County,Kittson (County),89007,1171,6
4435,Missouri,Velika katastrofa,2019-05-20,Flood,"Severe Storms, Straight-Line Winds, And Flooding",0,0,1,1,2019-03-11,2019-04-16,Scott County (Missouri),Scott (County),19022,2007,17
3044,Georgia,Upravljanje hitnim situacijama,1977-07-20,Drought,Drought,0,0,1,0,1977-07-20,1977-07-20,Habersham County,Habersham (County),77101,9326,23
1624,Texas,Velika katastrofa,2006-01-11,Fire,Extreme Wildfire Threat,1,1,1,1,2005-11-27,2006-05-14,Hutchinson County (Texas),Hutchinson (County),6021,1459,8
828,Texas,Velika katastrofa,1989-05-19,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,1,0,1989-05-04,1989-06-07,McCulloch County,McCulloch (County),89012,4684,4
227,Illinois,Velika katastrofa,1967-04-25,Tornado,Tornadoes,0,1,1,0,1967-04-25,1967-04-25,Kane County (Illinois),Kane (County),67021,2563,11
269,Iowa,Velika katastrofa,1969-08-14,Flood,Heavy Rains & Flooding,0,1,1,0,1969-08-14,1969-08-14,Delaware County (Iowa),Delaware (County),69032,3556,16
1050,North Dakota,Velika katastrofa,1995-05-16,Severe Storm,"Severe Storms, Flooding, And Ground Saturation",0,1,1,0,1995-03-01,1995-07-05,McIntosh County (North Dakota),McIntosh (County),95004,6074,7
4672,Alaska,Velika katastrofa,2022-09-23,Severe Storm,"Severe Storm, Flooding, And Landslides",0,0,1,1,2022-09-15,2022-09-20,Aleutians West Census Area,Pribilof Island Regional Educational Attendance Area,22086,8919,22
4626,Mississippi,Velika katastrofa,2021-10-22,Hurricane,Hurricane Ida,1,0,1,1,2021-08-28,2021-09-01,Pike County (Mississippi),Pike (County),21110,1236,10
1137,West Virginia,Velika katastrofa,1996-09-11,Severe Storm,"Hurricane Fran And Associated Heavy Rains,Flooding Highwind",0,1,1,0,1996-09-05,1996-09-08,Morgan County (West Virginia),Morgan (County),96181,4975,3
3225,Michigan,Upravljanje hitnim situacijama,2005-09-07,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Ingham County,Ingham (County),5106,6314,16
1402,Kansas,Velika katastrofa,2002-02-06,Severe Ice Storm,Severe Winter Ice Storm,0,1,0,0,2002-01-29,2002-02-15,Pratt County,Pratt (County),2016,6923,14
4543,North Carolina,Velika katastrofa,2020-05-08,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2020-02-06,2020-02-19,Cherokee County (North Carolina),Cherokee (County),20155,4108,6
989,Missouri,Velika katastrofa,1993-05-11,Flood,Severe Storms & Flooding,0,1,0,0,1993-04-15,1993-05-29,Ralls County,Ralls (County),93048,4018,5
4643,Kentucky,Velika katastrofa,2022-02-27,Severe Storm,"Severe Storms, Straight-Line Winds, Tornadoes, Flooding, Landslides",0,0,1,1,2021-12-31,2022-01-02,Christian County (Kentucky),Christian (County),22010,7798,7
865,Arkansas,Velika katastrofa,1990-05-15,Flood,Severe Storms & Flooding,0,1,1,0,1990-05-01,1990-06-03,Union County (Arkansas),Union (County),90017,9368,2
1769,West Virginia,Velika katastrofa,2008-06-19,Severe Storm,"Severe Storms, Tornadoes, Flooding, Mudslides, And",0,0,1,1,2008-06-03,2008-06-07,Braxton County,Braxton (County),8084,9109,12
229,Kansas,Velika katastrofa,1967-07-18,Tornado,"Tornadoes, Severe Storms & Flooding",0,1,1,0,1967-07-18,1967-07-18,Jackson County (Kansas),Jackson (County),67023,847,8
739,California,Velika katastrofa,1985-07-18,Fire,"Grass, Wildlands, & Forest Fires",0,1,1,0,1985-06-26,1985-07-19,San Diego County,San Diego (County),85035,6166,18
3044,Georgia,Upravljanje hitnim situacijama,1977-07-20,Drought,Drought,0,0,1,0,1977-07-20,1977-07-20,Lamar County (Georgia),Lamar (County),77101,2952,1
3391,Puerto Rico,Upravljanje hitnim situacijama,2017-09-18,Hurricane,Hurricane Maria,0,0,1,0,2017-09-17,2017-11-15,Coamo Municipio,Coamo (Municipio),17115,4617,1
4150,Kansas,Velika katastrofa,2013-10-22,Severe Storm,"Severe Storms, Straight-Line Winds, Tornadoes, And Flooding",0,0,1,1,2013-07-22,2013-08-16,Chase County (Kansas),Chase (County),13088,3585,10
3163,Wisconsin,Upravljanje hitnim situacijama,2001-01-24,Snowstorm,Snow,0,0,1,0,2000-12-11,2000-12-31,Milwaukee County,Milwaukee (County),1008,6996,9
624,Idaho,Velika katastrofa,1980-05-22,Volcanic Eruption,"Volcanic Eruption, Mt. St. Helens",0,1,1,0,1980-05-22,1980-05-22,Bonner County,Bonner (County),80040,5029,9
542,North Carolina,Velika katastrofa,1977-11-09,Flood,Severe Storms & Flooding,0,1,1,0,1977-11-09,1977-11-09,Polk County (North Carolina),Polk (County),78007,712,14
1230,Iowa,Velika katastrofa,1998-07-02,Flood,"Severe Storms, Tornadoes And Flooding",0,1,1,0,1998-06-13,1998-07-15,Iowa County (Iowa),Iowa (County),99066,5919,22
3218,Georgia,Upravljanje hitnim situacijama,2005-09-05,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-27,2005-10-01,Echols County,Echols (County),5088,5569,15
3374,Missouri,Upravljanje hitnim situacijama,2016-01-02,Flood,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,0,2015-12-22,2016-01-09,St. Francois County,St. Francois (County),16001,6586,7
1365,Mississippi,Velika katastrofa,2001-04-17,Severe Storm,Severe Storms And Flooding,0,1,1,1,2001-04-03,2001-04-05,Holmes County (Mississippi),Holmes (County),1036,9004,10
3038,Arizona,Upravljanje hitnim situacijama,1977-04-15,Drought,Drought,0,0,1,0,1977-04-15,1977-04-15,Navajo County,Navajo (County),77062,5972,8
4238,Missouri,Velika katastrofa,2015-08-07,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,1,2015-05-15,2015-07-27,Polk County (Missouri),Polk (County),15044,3782,6
1085,Pennsylvania,Velika katastrofa,1996-01-13,Snowstorm,Blizzard Of 96,0,0,1,0,1996-01-06,1996-01-12,Columbia County (Pennsylvania),Columbia (County),96017,8496,17
1128,Michigan,Velika katastrofa,1996-07-23,Severe Storm,Severe Storms And Flooding,0,1,1,0,1996-06-21,1996-07-01,Midland County (Michigan),Midland (County),96156,7327,10
4642,Iowa,Velika katastrofa,2022-02-23,Severe Storm,"Severe Storms, Straight-Line Winds, And Tornadoes",0,0,1,1,2021-12-15,2021-12-15,Davis County (Iowa),Davis (County),22009,5296,11
4268,Mississippi,Velika katastrofa,2016-03-25,Flood,Severe Storms And Flooding,1,0,1,1,2016-03-09,2016-03-29,Bolivar County,Bolivar (County),16033,8206,4
1578,Kentucky,Velika katastrofa,2005-02-08,Snowstorm,Severe Winter Storm And Record Snow,0,0,1,1,2004-12-21,2004-12-23,Hancock County (Kentucky),Hancock (County),5006,4584,8
3271,Colorado,Upravljanje hitnim situacijama,2007-01-07,Snowstorm,Snow,0,0,1,0,2006-12-28,2006-12-31,Crowley County,Crowley (County),7784,7218,21
1971,Alabama,Velika katastrofa,2011-04-28,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",1,0,1,1,2011-04-15,2011-05-31,Marshall County (Alabama),Marshall (County),11081,3737,22
1015,Pennsylvania,Velika katastrofa,1994-03-10,Severe Storm,Severe Winter Storms,0,0,1,0,1994-01-04,1994-02-25,Cumberland County (Pennsylvania),Cumberland (County),94013,8709,11
3556,Louisiana,Upravljanje hitnim situacijama,2021-02-18,Severe Ice Storm,Severe Winter Storm,0,0,1,0,2021-02-11,2021-02-19,Caldwell Parish,Caldwell (Parish),21012,8971,22
4165,Georgia,Velika katastrofa,2014-03-06,Severe Ice Storm,Severe Winter Storm,0,0,1,1,2014-02-10,2014-02-14,Bulloch County,Bulloch (County),14014,3773,9
1246,Louisiana,Velika katastrofa,1998-09-23,Hurricane,Hurricane Georges/Ts Frances,0,1,1,0,1998-09-09,1998-10-04,Tangipahoa Parish,Tangipahoa (Parish),98076,9570,2
969,Georgia,Velika katastrofa,1992-12-01,Tornado,"High Winds, Heavy Rains & Tornadoes",0,1,0,0,1992-11-22,1992-12-07,Talbot County (Georgia),Talbot (County),92051,4900,18
1121,Iowa,Velika katastrofa,1996-06-24,Severe Storm,Severe Storms And Flooding,0,0,1,0,1996-05-08,1996-05-28,Johnson County (Iowa),Johnson (County),96143,4488,9
1398,Mississippi,Velika katastrofa,2001-12-07,Severe Storm,"Severe Storms, Tornadoes And Flooding",0,0,1,0,2001-11-24,2001-12-17,Benton County (Mississippi),Benton (County),1112,3598,11
3216,Texas,Upravljanje hitnim situacijama,2005-09-02,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Bailey County,Bailey (County),5090,9907,4
3014,Wisconsin,Upravljanje hitnim situacijama,1976-06-17,Drought,Drought,0,0,1,0,1976-06-17,1976-06-17,Washburn County,Washburn (County),76052,3019,2
2515,California,Upravljanje požarom,2004-04-26,Fire,Ca - Pleasure Fire - 04-25-2004,0,0,1,0,2004-04-25,2004-04-28,Riverside County,Riverside (County),4025,2400,9
3112,Virginia,Upravljanje hitnim situacijama,1993-03-25,Snowstorm,Severe Winter Storm,0,0,1,0,1993-03-13,1993-03-14,Loudoun County,Loudoun (County),93025,8505,18
1458,Virginia,Velika katastrofa,2003-03-27,Severe Storm,"Severe Winter Storm, Record/Near Record Snowfall, Heavy Rain,Floodind, And Mudslide",1,1,0,0,2003-02-15,2003-02-28,Roanoke County,Roanoke (County),3015,6906,13
1986,North Dakota,Velika katastrofa,2011-05-20,Severe Storm,Severe Winter Storm,0,0,1,1,2011-04-29,2011-05-01,Dunn County (North Dakota),Dunn (County),11106,8769,6
2078,Alaska,Upravljanje požarom,1991-07-03,Fire,Appel Mountain Fire,0,0,1,0,1991-07-01,1991-12-09,Alaska,Statewide,91034,4038,17
4174,Arkansas,Velika katastrofa,2014-04-29,Severe Storm,"Severe Storms,Tornadoes, And Flooding",1,0,1,1,2014-04-27,2014-04-27,White County (Arkansas),White (County),14027,5175,20
4390,Minnesota,Velika katastrofa,2018-09-05,Flood,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,1,2018-06-15,2018-07-12,Redwood County,Redwood (County),18090,3144,8
3586,North Carolina,Upravljanje hitnim situacijama,2022-10-01,Hurricane,Hurricane Ian,0,0,1,0,2022-09-28,2022-10-04,Columbus County,Columbus (County),22091,7902,21
3142,Texas,Upravljanje hitnim situacijama,1999-09-01,Fire,Extreme Fire Hazards,0,0,1,0,1999-08-01,1999-12-10,Somervell County,Somervell (County),99077,6798,11
3527,Louisiana,Upravljanje hitnim situacijama,2020-06-07,Coastal Storm,Tropical Storm Cristobal,0,0,1,0,2020-06-05,2020-06-09,Bossier Parish,Bossier (Parish),20193,709,4
1674,Nebraska,Velika katastrofa,2007-01-07,Severe Storm,Severe Winter Storms,0,0,1,1,2006-12-19,2007-01-01,Polk County (Nebraska),Polk (County),7781,414,12
897,Georgia,Velika katastrofa,1991-03-15,Flood,Severe Storms & Flooding,0,1,1,0,1991-03-01,1991-03-21,Clinch County,Clinch (County),91010,8185,19
1549,Alabama,Velika katastrofa,2004-09-15,Hurricane,Hurricane Ivan,1,1,1,1,2004-09-13,2004-09-30,Lawrence County (Alabama),Lawrence (County),4109,2033,6
1646,California,Velika katastrofa,2006-06-05,Severe Storm,"Severe Storms, Flooding, Landslides, And Mudslides",0,0,1,1,2006-03-29,2006-04-16,San Joaquin County,San Joaquin (County),6088,8978,12
1015,Pennsylvania,Velika katastrofa,1994-03-10,Severe Storm,Severe Winter Storms,0,0,1,0,1994-01-04,1994-02-25,Chester County (Pennsylvania),Chester (County),94013,1049,8
3186,New York,Upravljanje hitnim situacijama,2003-08-23,Other,Power Outage,0,0,1,0,2003-08-14,2003-08-16,Erie County (New York),Erie (County),3093,9325,12
3172,Louisiana,Upravljanje hitnim situacijama,2003-02-01,Other,Loss Of Space Shuttle Columbia,0,0,1,0,2003-02-01,2003-02-01,Beauregard Parish,Beauregard (Parish),3008,3670,11
271,Mississippi,Velika katastrofa,1969-08-18,Hurricane,Hurricane Camille,0,1,1,0,1969-08-18,1969-08-18,Jones County (Mississippi),Jones (County),69034,8609,3
1905,Virginia,Velika katastrofa,2010-04-27,Snowstorm,Severe Winter Storms And Snowstorms,0,0,1,1,2010-02-05,2010-02-11,Madison County (Virginia),Madison (County),10042,1440,1
3403,Virginia,Upravljanje hitnim situacijama,2018-09-11,Hurricane,Hurricane Florence,0,0,1,0,2018-09-13,2018-09-21,Colonial Heights city,Colonial Heights,18100,7418,17
3260,Louisiana,Upravljanje hitnim situacijama,2005-09-21,Hurricane,Hurricane Rita,0,0,1,0,2005-09-20,2005-11-01,Tangipahoa Parish,Tangipahoa (Parish),5136,588,5
3031,Louisiana,Upravljanje hitnim situacijama,1977-02-22,Snowstorm,Drought & Freezing,0,0,1,0,1977-02-22,1977-02-22,Bossier Parish,Bossier (Parish),77036,6441,3
4250,Missouri,Velika katastrofa,2016-01-21,Flood,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",1,0,1,1,2015-12-23,2016-01-09,Lincoln County (Missouri),Lincoln (County),16005,1999,22
1825,Washington,Velika katastrofa,2009-03-02,Severe Storm,Severe Winter Storm And Record And Near Record Snow,0,0,1,1,2008-12-12,2009-01-05,Stevens County (Washington),Stevens (County),9019,2290,19
1018,Kentucky,Velika katastrofa,1994-03-16,Snowstorm,"Severe Weather, Freezing Rain, Sleet, Snw",0,0,1,0,1994-02-09,1994-02-11,Pulaski County (Kentucky),Pulaski (County),94016,3334,20
871,Illinois,Velika katastrofa,1990-06-22,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,0,0,1990-05-15,1990-07-03,Tazewell County (Illinois),Tazewell (County),90026,8721,18
1155,California,Velika katastrofa,1997-01-04,Severe Storm,"Severe Storms, Flooding, Mud And Landslides",0,1,1,1,1996-12-28,1997-04-01,Shasta County,Shasta (County),97029,3059,9
4223,Texas,Velika katastrofa,2015-05-29,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds And Flooding",0,0,1,1,2015-05-04,2015-06-22,Leon County (Texas),Leon (County),15021,1738,3
928,Iowa,Velika katastrofa,1991-12-26,Severe Ice Storm,Ice Storm,0,0,1,0,1991-10-31,1991-11-29,Dickinson County (Iowa),Dickinson (County),91061,4700,6
3103,Massachusetts,Upravljanje hitnim situacijama,1993-03-16,Snowstorm,"Blizzards, High Winds & Record Snowfall",0,0,1,0,1993-03-13,1993-03-17,Hampden County,Hampden (County),93016,9140,8
1535,Kansas,Velika katastrofa,2004-08-03,Severe Storm,"Severe Storms, Flooding, And Tornadoes",0,0,1,1,2004-06-12,2004-07-25,Russell County (Kansas),Russell (County),4070,672,1
774,Michigan,Velika katastrofa,1986-09-18,Flood,Severe Storms & Flooding,0,1,1,0,1986-09-10,1986-10-10,Bay County (Michigan),Bay (County),86027,1765,6
1109,Indiana,Velika katastrofa,1996-04-02,Flood,Blizzard Of 96,0,0,1,0,1996-01-06,1996-01-12,Montgomery County (Indiana),Montgomery (County),96047,3699,23
4023,Connecticut,Velika katastrofa,2011-09-02,Hurricane,Tropical Storm Irene,1,0,1,1,2011-08-27,2011-09-01,Hartford County,"Hartford (County)(in PMSA 1170,3280,5440)",11209,6706,4
1223,Florida,Velika katastrofa,1998-06-18,Fire,Extreme Fire Hazard,0,1,1,0,1998-05-25,1998-07-22,Nassau County (Florida),Nassau (County),98051,3363,3
1375,South Dakota,Velika katastrofa,2001-05-17,Flood,"Severe Winter Storms, Flooding, And Ice Jams",0,0,1,0,2001-03-01,2001-04-30,Marshall County (South Dakota),Marshall (County),1052,2489,14
2069,Oregon,Upravljanje požarom,1988-08-26,Fire,Walker Mountain Fire,0,0,1,0,1988-08-23,1988-08-23,Oregon,Statewide,88018,2499,10
1634,Tennessee,Velika katastrofa,2006-04-05,Severe Storm,Severe Storms And Tornadoes,1,1,1,1,2006-04-02,2006-04-08,Cheatham County,Cheatham (County),6077,4713,11
4463,South Dakota,Velika katastrofa,2019-09-23,Flood,Severe Storms And Flooding,0,0,1,1,2019-05-21,2019-06-07,Campbell County (South Dakota),Campbell (County),19081,9530,2
279,West Virginia,Velika katastrofa,1969-09-24,Flood,Severe Storms & Flooding,0,1,1,0,1969-09-24,1969-09-24,Greenbrier County,Greenbrier (County),69042,366,2
1587,Pennsylvania,Velika katastrofa,2005-04-14,Severe Storm,Severe Storms And Flooding,1,1,1,1,2005-04-02,2005-04-23,Susquehanna County,Susquehanna (County),5030,5526,18
1454,Kentucky,Velika katastrofa,2003-03-14,Severe Storm,"Severe Winter Ice And Snow Storms, Heavy Rain, Flooding, Tornadoes, And Mud And",1,1,1,1,2003-02-15,2003-02-26,Owsley County,Owsley (County),3016,2187,17
3163,Wisconsin,Upravljanje hitnim situacijama,2001-01-24,Snowstorm,Snow,0,0,1,0,2000-12-11,2000-12-31,Door County,Door (County),1008,313,21
1454,Kentucky,Velika katastrofa,2003-03-14,Severe Storm,"Severe Winter Ice And Snow Storms, Heavy Rain, Flooding, Tornadoes, And Mud And",0,0,1,1,2003-02-15,2003-02-26,Shelby County (Kentucky),Shelby (County),3016,6321,4
296,Puerto Rico,Velika katastrofa,1970-10-12,Flood,Heavy Rains & Flooding,0,1,1,0,1970-10-12,1970-10-12,Naguabo Municipio,Naguabo (Municipio),70023,1623,12
1470,Mississippi,Velika katastrofa,2003-05-23,Severe Storm,"Severe Storms, Tornadoes And High Winds",1,1,0,1,2003-05-05,2003-05-08,Pontotoc County (Mississippi),Pontotoc (County),3045,4430,18
1058,Oklahoma,Velika katastrofa,1995-06-26,Tornado,"Tornadoes, Severe Storms And Flooding",0,0,1,0,1995-05-26,1995-06-11,Alfalfa County,Alfalfa (County),95034,8947,21
3583,Puerto Rico,Upravljanje hitnim situacijama,2022-09-18,Hurricane,Tropical Storm Fiona,0,0,1,0,2022-09-17,2022-09-21,Morovis Municipio,Morovis (Municipio),22084,3173,8
4259,Georgia,Velika katastrofa,2016-02-26,Severe Storm,Severe Storms And Flooding,0,0,1,1,2015-12-22,2016-01-13,Upson County,Upson (County),16016,537,20
3426,Puerto Rico,Upravljanje hitnim situacijama,2020-01-07,Earthquake,Earthquakes,0,0,1,0,2019-12-28,2020-02-04,Moca Municipio,Moca (Municipio),20001,637,13
1804,Arkansas,Velika katastrofa,2008-10-22,Severe Storm,Tropical Storm Ike,0,0,1,1,2008-09-13,2008-09-23,Newton County (Arkansas),Newton (County),8161,3856,21
1635,Missouri,Velika katastrofa,2006-04-05,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,1,0,1,2006-03-30,2006-04-03,Dunklin County,Dunklin (County),6075,8192,12
256,North Dakota,Velika katastrofa,1969-04-18,Flood,Flooding,0,1,1,0,1969-04-18,1969-04-18,Steele County (North Dakota),Steele (County),69019,5337,12
3017,Missouri,Upravljanje hitnim situacijama,1976-09-24,Drought,Drought,0,0,1,0,1976-09-24,1976-09-24,Nodaway County,Nodaway (County),76081,357,1
3051,West Virginia,Upravljanje hitnim situacijama,1977-08-24,Drought,Drought,0,0,1,0,1977-08-24,1977-08-24,Monroe County (West Virginia),Monroe (County),77117,1885,4
3249,Wisconsin,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Kenosha County,Kenosha (County),5118,79,7
1829,North Dakota,Velika katastrofa,2009-03-24,Severe Storm,Severe Storms And Flooding,1,0,1,1,2009-03-13,2009-08-10,Grant County (North Dakota),Grant (County),9031,2020,21
1924,Nebraska,Velika katastrofa,2010-07-15,Severe Storm,Severe Storms And Flooding,0,0,1,1,2010-06-01,2010-08-29,Colfax County (Nebraska),Colfax (County),10075,6355,14
3569,Mississippi,Upravljanje hitnim situacijama,2021-08-28,Hurricane,Hurricane Ida,0,0,1,0,2021-08-28,2021-09-01,Neshoba County,Neshoba (County),21090,7704,22
1318,Virginia,Velika katastrofa,2000-02-28,Severe Storm,Severe Winter Storms,0,0,1,1,2000-01-25,2000-01-30,Suffolk city,Suffolk,15,5035,9
4586,Texas,Velika katastrofa,2021-02-19,Severe Ice Storm,Severe Winter Storms,1,0,1,1,2021-02-11,2021-02-21,Hood County,Hood (County),21013,9816,9
1282,Iowa,Velika katastrofa,1999-07-22,Severe Storm,Severe Storms And Flooding,0,1,1,0,1999-07-02,1999-08-10,Story County,Story (County),99061,1377,5
3231,Kentucky,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-29,2005-10-01,Greenup County,Greenup (County),5099,3265,17
796,Ohio,Velika katastrofa,1987-07-17,Flood,Severe Storms & Flooding,0,1,0,0,1987-07-01,1987-07-10,Crawford County (Ohio),Crawford (County),87018,510,8
192,Wisconsin,Velika katastrofa,1965-04-21,Tornado,"Tornadoes, Severe Storms & Flooding",0,1,1,0,1965-04-21,1965-04-21,Ozaukee County,Ozaukee (County),65018,6008,12
1694,New Jersey,Velika katastrofa,2007-04-26,Severe Storm,Severe Storms And Inland And Coastal Flooding,1,1,1,1,2007-04-14,2007-04-20,Union County (New Jersey),Union (County),7814,9080,19
4440,South Dakota,Velika katastrofa,2019-06-07,Flood,"Severe Winter Storm, Snowstorm, And Flooding",1,0,1,1,2019-03-13,2019-04-26,Jackson County (South Dakota),Jackson (County),19028,4517,5
3076,Iowa,Upravljanje hitnim situacijama,1979-04-06,Tornado,Severe Storms & Tornadoes,0,1,0,0,1979-04-06,1979-04-06,Taylor County (Iowa),Taylor (County),79032,5271,17
1227,Ohio,Velika katastrofa,1998-06-30,Severe Storm,"Severe Storms, Flooding, And Tornadoes",0,1,1,0,1998-06-24,1998-07-05,Knox County (Ohio),Knox (County),98064,4434,14
1915,South Dakota,Velika katastrofa,2010-05-13,Flood,Flooding,0,0,1,1,2010-03-10,2010-06-20,Marshall County (South Dakota),Marshall (County),10050,6869,4
3286,Ohio,Upravljanje hitnim situacijama,2008-04-24,Snowstorm,Record Snow And Near Record Snow,0,0,1,0,2008-03-07,2008-03-09,Morrow County (Ohio),Morrow (County),8053,175,5
1280,South Dakota,Velika katastrofa,1999-06-09,Tornado,"Severe Storms, Tornadoes And Flooding",0,1,1,1,1999-06-04,1999-06-18,Shannon County (South Dakota),Oglala Lakota (County),99054,1210,17
946,Minnesota,Velika katastrofa,1992-06-26,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,1,0,1992-06-16,1992-06-20,Chippewa County (Minnesota),Chippewa (County),92021,4365,21
3216,Texas,Upravljanje hitnim situacijama,2005-09-02,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Gonzales County,Gonzales (County),5090,8073,20
3055,Ohio,Upravljanje hitnim situacijama,1978-01-26,Snowstorm,Blizzards & Snowstorms,0,0,1,0,1978-01-26,1978-01-26,Medina County (Ohio),Medina (County),78026,5446,14
956,Louisiana,Velika katastrofa,1992-08-26,Hurricane,Hurricane Andrew,0,1,1,0,1992-08-25,1992-08-30,Tangipahoa Parish,Tangipahoa (Parish),92037,6791,10
3403,Virginia,Upravljanje hitnim situacijama,2018-09-11,Hurricane,Hurricane Florence,0,0,1,0,2018-09-13,2018-09-21,Poquoson city,Poquoson,18100,3241,23
458,Alabama,Velika katastrofa,1975-03-14,Flood,Severe Storms & Flooding,0,1,1,0,1975-03-14,1975-03-14,Bullock County,Bullock (County),75061,8626,5
3272,Oklahoma,Upravljanje hitnim situacijama,2007-01-14,Severe Ice Storm,Severe Winter Storms And Flooding,0,0,1,0,2007-01-12,2007-01-26,Texas County (Oklahoma),Texas (County),7786,5540,19
402,New Jersey,Velika katastrofa,1973-08-07,Flood,Severe Storms & Flooding,0,1,1,0,1973-08-07,1973-08-07,Union County (New Jersey),Union (County),73077,2634,1
1020,Georgia,Velika katastrofa,1994-03-31,Tornado,"Tornadoes, Flooding, And Severe Storms",0,1,1,0,1994-03-27,1994-04-10,Whitfield County,Whitfield (County),94018,2119,1
3219,Oklahoma,Upravljanje hitnim situacijama,2005-09-05,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,McClain County,McClain (County),5091,622,4
642,Ohio,Velika katastrofa,1981-06-30,Severe Storm,"Severe Storms, Flooding & Tornadoes",0,1,0,0,1981-06-30,1981-06-30,Wyandot County,Wyandot (County),81034,368,22
2874,Oklahoma,Upravljanje požarom,2011-03-24,Fire,Osage County Fire Complex,0,0,1,0,2011-03-24,2011-03-27,Osage County (Oklahoma),Osage (County),11040,3195,17
4586,Texas,Velika katastrofa,2021-02-19,Severe Ice Storm,Severe Winter Storms,1,0,1,1,2021-02-11,2021-02-21,Travis County,Travis (County),21013,656,4
1209,Georgia,Velika katastrofa,1998-03-11,Severe Storm,Severe Storms And Flooding,0,1,1,0,1998-02-14,1998-05-11,Brooks County (Georgia),Brooks (County),98028,3900,6
